"File number
","Original file Number
","File format
","Folder number
","Camera number
","Laying point number
","Date taken
","Shooting time
","Working days
","Object category
","Object category
","Number of animals
","Gender
","Independent detection of the first sheet
","Note
"
L-AZH17-XB28-0001,IMAG0001,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:23,1,Staff,,,,1,
L-AZH17-XB28-0002,IMAG0002,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0003,IMAG0003,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0004,IMAG0004,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0005,IMAG0005,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0006,IMAG0006,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0007,IMAG0007,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0008,IMAG0008,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:24,1,Staff,,,,,
L-AZH17-XB28-0009,IMAG0009,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:25,1,Staff,,,,,
L-AZH17-XB28-0010,IMAG0010,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:25,1,Staff,,,,,
L-AZH17-XB28-0011,IMAG0011,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:25,1,Staff,,,,,
L-AZH17-XB28-0012,IMAG0012,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:26,1,Staff,,,,,
L-AZH17-XB28-0013,IMAG0013,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:27,1,Empty,,,,,
L-AZH17-XB28-0014,IMAG0014,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:27,1,Empty,,,,,
L-AZH17-XB28-0015,IMAG0015,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:27,1,Empty,,,,,
L-AZH17-XB28-0016,IMAG0016,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,5/22/2017,9:27,1,Empty,,,,,
L-AZH17-XB28-0017,IMAG0017,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:25,11,Mammals,Yellow-throat Marten,2,,1,
L-AZH17-XB28-0018,IMAG0018,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:25,11,Mammals,Yellow-throat Marten,2,,,
L-AZH17-XB28-0019,IMAG0019,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:25,11,Mammals,Yellow-throat Marten,2,,,
L-AZH17-XB28-0020,IMAG0020,AVI,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:26,11,Mammals,Yellow-throat Marten,2,,,
L-AZH17-XB28-0021,IMAG0021,JPG,L-AZH17-XB28,1664,L-AZH17-XB28,6/1/2017,16:36,11,Mammals,Yellow-throat Marten,1,,,
